storename,address,location,date, time, devicetype,issuername, passfail, numberofattempts, issuercardtype, uservendorcomments, serialnumber, passbookui, readerlight, technologyavailable,contactlesscarddetails, contactlesscardpassfail,cardnumber, pno, latlong, failcomments,dpan, amount, build, refundstatus, othercomments, otherfailcomments, purchaseditemcategory, purchaseditemdetails, readerbeep, zipcode, minorcity, range, debitaskedpin, passbooknotification, orientation, displaymerchantname,displayamount,country
Store Name,Address,City, Date, Time,Device Type,Bank Name,PassFail,Number of Attempts,Card Type,User Comments,Serial Number,Passbook UI,Reader Light,Technology Available,Contactless Card,Contactless Card Pass Fail,Last Four,PNO,LAT-LONG,Fail Comments,DPAN,Amount, SW Build,Refund Status, Other Comments, Other Fail Comments, Product Item Category, Product Item Details, Reader Beep, Zip Code, Minor City, Range, Debit Asked Pin, Passbook Notification, Device Orientation, Display Merchant Name, Display Amount,Country
Verizon,17 Larkspur Dr  Parsippany NJ 07054  United States,Newark,20160922,100200,iPhone 6s Plus,Discover,FAIL,1,Credit,,C38QFBN2GRWV,NA,NA,NO,NA,NA,3094,Discover,40.86410377;-74.36946506,NA,8081,,10.1 (14B49),NO,, tap not available ,,,NA,7054,Parsippany,Touch,NA,NA,Portrait,NA,NA,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,iPhone 6,Citi,PASS,1,Credit, ,F18Q19K5G5M,NA,NA,YES,NA,NA,5739,MasterCard,40.54916646;-74.29707329,NA,6490,3.74,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,671,Visa,40.54916646;-74.29707329,NA,7726,7,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.54916646;-74.29707329,NA,4208,6.9,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,YES,NO,Portrait Face Down,NO,NO,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.54916646;-74.29707329,NA,4701,4.06,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,YES,NO,Portrait Face Down,NO,NO,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.73124285;-74.20474545,NA,8081,2.12,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7103,Newark,Range1,NO,YES,Portrait Face Down,YES,YES,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.73124285;-74.20474545,NA,7676,2.12,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7103,Newark,Range1,NO,YES,Portrait Face Down,YES,YES,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,5739,MasterCard,40.73124285;-74.20474545,NA,6490,2.12,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7103,Newark,Range1,NO,YES,Portrait Face Down,YES,YES,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,671,Visa,40.73128770;-74.20471595,NA,7726,1.06,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7103,Newark,Range1,NO,YES,Portrait Face Down,YES,YES,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.73128770;-74.20471595,NA,4208,1.06,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7103,Newark,Range1,YES,NO,Portrait Face Down,NO,NO,United States
save a lot,531-551 Springfield Ave  Newark NJ 07103  United States,Newark,20160923,165700,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.73128770;-74.20471595,NA,4701,1.06,3.1 (14S445),NO,, NA,Perishable,verifone,NA,7103,Newark,Range1,YES,NO,Portrait Face Down,NO,NO,United States
